Datetime,Close,High,Low,Open,Volume,RSI_14,SMA_20,SMA_50,EMA_20,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,ATRr_14,Target_Close
2025-12-22 03:45:00+00:00,26129.25,26141.900390625,26052.0,26129.25,0,73.39980818879346,25882.030078125004,25913.913046874997,25923.41092944979,32.84849335830586,26.942968147354406,5.905525210951453,25703.139307324185,25882.030078125004,26060.920848925824,1.3823550182179427,1.1909800901642256,65.27819502414789,26123.94921875
2025-12-22 04:45:00+00:00,26123.94921875,26147.25,26118.19921875,26123.94921875,0,72.55106786791451,25898.40751953125,25920.241015624997,25942.50981414505,44.27659907419002,30.696859090590852,13.579739983599165,25694.324420925637,25898.40751953125,26102.490618136864,1.5760281666098928,1.0525731938601248,62.69052261170876,26134.55078125
2025-12-22 05:45:00+00:00,26134.55078125,26148.099609375,26117.400390625,26134.55078125,0,73.21808384194463,25915.5650390625,25926.983046875,25960.799430059807,53.57137521541517,31.993308185452804,21.57806702996237,25692.541517627826,25915.5650390625,26138.588560497177,1.721154997766884,0.990947638120852,60.405429478729566,26139.94921875
2025-12-22 06:45:00+00:00,26139.94921875,26153.650390625,26111.75,26139.94921875,0,73.57028129045133,25932.6349609375,25932.250039062503,25977.86131469697,60.67375181933312,31.2765478314966,29.39720398783652,25695.50703113296,25932.6349609375,26169.76289074204,1.828799350021534,0.9371358911271754,59.083640989177454,26143.5
2025-12-22 07:45:00+00:00,26143.5,26157.25,26125.849609375,26143.5,0,73.81420323618504,25948.99248046875,25938.017031249998,25993.63642758297,65.83010633158483,29.146321874998648,36.68378445658618,25700.764540016684,25948.99248046875,26197.220420920818,1.9131990626526458,0.8917921551800672,57.10626596316478,26174.80078125
2025-12-22 08:45:00+00:00,26174.80078125,26180.55078125,26128.55078125,26174.80078125,0,75.92363372684859,25966.600000000002,25944.1890625,26010.890175551256,71.61671299979935,27.94634283457053,43.67037016522882,25706.434933104763,25966.600000000002,26226.76506689524,2.003843914068371,0.9001320848617897,56.74153268008158,26162.75
2025-12-22 09:45:00+00:00,26162.75,26176.44921875,26160.94921875,26162.75,0,73.46975701591849,25985.17998046875,25949.535078125005,26025.353015974946,74.37291843216371,24.56203861354792,49.810879818615796,25724.6963055623,25985.17998046875,26245.663655375203,2.0048633498189345,0.8408467336677049,53.79570891721861,26184.19921875
2025-12-23 03:45:00+00:00,26184.19921875,26205.19921875,26120.0,26184.19921875,0,75.01747907358858,26002.80498046875,25955.251054687502,26040.481225763047,77.39583280587249,22.067962389805345,55.32787041606714,25738.374992230318,26002.80498046875,26267.234968707184,2.033857412206505,0.8429910493315314,56.038816762417284,26190.0
2025-12-23 04:45:00+00:00,26190.0,26195.44921875,26162.80078125,26190.0,0,75.43485818815203,26018.364941406253,25959.281054687497,26054.72110902371,79.34494960514712,19.213663351263982,60.13128625388314,25748.098805530855,26018.364941406253,26288.63107728165,2.07750284450265,0.8175297157333781,54.368075386530336,26187.69921875
2025-12-23 05:45:00+00:00,26187.69921875,26196.94921875,26157.55078125,26187.69921875,0,74.90035310079735,26033.75986328125,25963.226054687497,26067.385690902403,79.78428136121875,15.722396085868482,64.06188527535026,25761.656178102305,26033.75986328125,26305.8635484602,2.090390989299471,0.7828689280108639,53.29881553749245,26186.650390625
2025-12-23 06:45:00+00:00,26186.650390625,26198.94921875,26167.099609375,26186.650390625,0,74.64071451696311,26052.8298828125,25966.6860546875,26078.74423373313,79.135597372544,12.058969677754988,67.07662769478901,25795.07544381697,26052.8298828125,26310.58432180803,1.9787058845808856,0.7595891429338689,51.766729383028704,26203.349609375
2025-12-23 07:45:00+00:00,26203.349609375,26206.099609375,26179.80078125,26203.349609375,0,76.06344774667727,26071.97734375,25970.072031250005,26090.61141236569,79.05767041705258,9.584834177810848,69.47283623924173,25830.54406629708,26071.97734375,26313.410621202922,1.8520519120564347,0.772067436210438,49.9475935788838,26183.5
2025-12-23 08:45:00+00:00,26183.5,26233.55078125,26158.69921875,26183.5,0,70.96682670790393,26090.36982421875,25972.881015625004,26099.457944521342,76.51222979902377,5.631514847825628,70.88071495119814,25876.707148786685,26090.36982421875,26304.032499650813,1.637866207888926,0.7179373996719943,51.72644850182067,26164.55078125
2025-12-23 09:45:00+00:00,26164.55078125,26187.650390625,26158.94921875,26164.55078125,0,66.39326650663743,26101.8173828125,25975.090039062503,26105.657262305027,72.13438588405552,1.0029367462858971,71.13144913776962,25898.80127109829,26101.8173828125,26304.83349452671,1.5555707002064207,0.6545034970569515,50.0817858856192,26227.19921875
2025-12-24 03:45:00+00:00,26227.19921875,26229.19921875,26142.0,26227.19921875,0,72.66540072504253,26115.439843750002,25978.891015625,26117.23268672836,72.88000306311005,1.3988431402723336,71.48115992283772,25917.474305265852,26115.439843750002,26313.405382234152,1.5160804464224054,0.7822697724456367,52.73303109021783,26210.150390625
2025-12-24 04:45:00+00:00,26210.150390625,26236.30078125,26198.05078125,26210.150390625,0,68.89698974543245,26128.74990234375,25983.86703125,26126.08199186137,71.27361424398623,-0.16603654308119076,71.43965078706742,25943.97573944219,26128.74990234375,26313.524065245307,1.4143360366810653,0.7202702125746311,51.69852886948798,26192.0
2025-12-24 05:45:00+00:00,26192.0,26221.0,26178.650390625,26192.0,0,65.03044163777848,26141.839941406248,25988.088046875,26132.359897398383,67.7549181763643,-2.947786088562495,70.7027042649268,25980.710178723337,26141.839941406248,26302.96970408916,1.2327346739484573,0.6556511278815159,51.030748905595985,26181.05078125
2025-12-24 06:45:00+00:00,26181.05078125,26209.099609375,26173.19921875,26181.05078125,0,62.742896997265476,26152.51748046875,25991.338046875004,26136.99712443187,63.35252724673046,-5.8801416145570755,69.23266886128754,26013.20625751903,26152.51748046875,26291.82870341847,1.0653752400988599,0.602408478574442,49.95000902841056,26158.5
2025-12-24 07:45:00+00:00,26158.5,26181.5,26139.599609375,26158.5,0,58.20188093809185,26161.95,25993.666054687503,26139.04501734312,57.3824717207026,-9.480157712467957,66.86262943317055,26052.33347137246,26161.95,26271.56652862754,0.8379843905178251,0.484263322132179,49.375036285309804,26154.80078125
2025-12-24 08:45:00+00:00,26154.80078125,26166.55078125,26124.19921875,26154.80078125,0,57.46712843903779,26171.620019531252,25996.565078125,26140.545566286633,51.75605211517177,-12.085261854399029,63.8413139695708,26115.35794319811,26171.620019531252,26227.882095864396,0.4299472198599575,0.35052774997441605,48.8733595863591,26141.650390625
2025-12-24 09:45:00+00:00,26141.650390625,26157.650390625,26129.900390625,26141.650390625,0,54.817781521542216,26172.2400390625,25998.797070312503,26140.65078765219,45.70904203687678,-14.505817546155221,60.214859583032,26117.696917588568,26172.2400390625,26226.783160536434,0.4168013237883065,0.21958289504827772,47.36454818733345,26091.44921875
