Datetime,Close,High,Low,Open,Volume,MA7,MA21,RSI,EMA12,EMA26,STD7,Daily_Return,SMMA7
2026-01-10 01:00:00+00:00,4504.17626953125,4504.8369140625,4503.302734375,4503.60009765625,0,4503.712123325893,4490.4673084077385,70.13467816667888,4498.894328570968,4486.886305588942,2.821575087995827,0.00021902876357282608,4503.712123325893
2026-01-10 02:00:00+00:00,4501.763671875,4504.9228515625,4501.763671875,4504.1669921875,0,4504.214634486607,4491.850027901786,67.90380475652906,4499.335766002358,4487.988332721243,1.822044516865803,-0.0005356357104783216,4504.214634486607
2026-01-10 03:00:00+00:00,4503.28466796875,4503.52392578125,4501.14697265625,4501.220703125,0,4504.004464285714,4493.040806361607,68.58229629944053,4499.943289381803,4489.121394591429,1.8340206323704724,0.00033786671282909353,4504.004464285714
2026-01-10 04:00:00+00:00,4505.17138671875,4505.17138671875,4503.35302734375,4503.35302734375,0,4503.654854910714,4494.472563244047,69.44514541226751,4500.7476120490255,4490.310282897156,1.1273535174638958,0.00041896501978211376,4503.654854910714
2026-01-10 05:00:00+00:00,4506.580078125,4508.0009765625,4505.14599609375,4505.14599609375,0,4503.928431919642,4496.181222098214,70.10530350128654,4501.644914522252,4491.515452914033,1.561948777126517,0.0003126832001114632,4503.928431919642
2026-01-10 06:00:00+00:00,4507.8017578125,4508.23876953125,4506.13818359375,4506.470703125,0,4504.566824776785,4497.664736793154,70.69660881513876,4502.592121182291,4492.721845869474,2.098944552973537,0.0002710879794258769,4504.566824776785
2026-01-10 07:00:00+00:00,4507.01220703125,4507.85302734375,4506.61865234375,4507.822265625,472976,4505.112862723214,4499.145996093749,69.73657693064747,4503.272134389823,4493.780391140716,2.176786389020371,-0.00017515206383722504,4505.112862723214
2026-01-10 08:00:00+00:00,4510.3720703125,4510.3720703125,4506.97900390625,4506.97900390625,0,4505.997977120535,4500.734723772321,71.50959022506856,4504.364432224082,4495.0094044127,2.8789019633093273,0.000745474635282406,4505.997977120535
2026-01-10 09:00:00+00:00,4509.302734375,4510.5234375,4508.60986328125,4510.30078125,0,4507.074986049107,4502.566034226191,70.1019194546933,4505.12417101653,4496.0681695950925,2.4014197557230563,-0.00023708375292108563,4507.074986049107
2026-01-10 10:00:00+00:00,4510.51904296875,4512.86181640625,4509.46826171875,4509.46826171875,1209280,4508.108468191964,4503.825334821429,70.8058771023595,4505.9541513168715,4497.138604659808,2.0256406639736264,0.00026973318612610875,4508.108468191964
2026-01-10 11:00:00+00:00,4512.37158203125,4512.37158203125,4509.91357421875,4510.6162109375,0,4509.137067522321,4504.6489025297615,71.89142823617537,4506.941448349853,4498.266973353989,2.1119065851643724,0.0004107152735310926,4509.137067522321
2026-01-10 12:00:00+00:00,4512.75048828125,4513.42529296875,4512.32763671875,4512.3486328125,0,4510.0185546875,4504.768508184524,72.11977778734256,4507.835146800837,4499.339826311563,2.154080391302456,8.397053370101659e-05,4510.0185546875
2026-01-10 13:00:00+00:00,4513.16748046875,4513.33203125,4511.59423828125,4512.66943359375,0,4510.785086495535,4505.055385044642,72.38565248074359,4508.6555058266695,4500.364096989873,2.1881850201646476,9.24031117126578e-05,4510.785086495535
2026-01-10 14:00:00+00:00,4512.9814453125,4513.67626953125,4512.5439453125,4513.13330078125,0,4511.637834821428,4506.420200892858,72.05551125186034,4509.321034978336,4501.298715384142,1.5399154059259663,-4.122053016097915e-05,4511.637834821428
