Date,Close,High,Low,Open,Volume,MA7,MA21,RSI,EMA12,EMA26,STD7,Daily_Return,SMMA7
2024-04-03,2300.30419921875,2316.331298828125,2254.294677734375,2262.97705078125,17072201,2236.816092354911,2179.3593982514876,82.27844617841197,2218.349481358423,2173.0511099008413,33.39379683311393,0.01649470922589047,2236.816092354911
2024-04-04,2270.65478515625,2301.0576171875,2270.5224609375,2300.30419921875,10166068,2244.944649832589,2185.3890671502973,71.67797625267761,2226.3964511734735,2180.2810117716126,33.7678289200847,-0.012889344840812722,2244.944649832589
2024-04-05,2317.159912109375,2321.208740234375,2250.823486328125,2270.549560546875,11870910,2259.1239885602677,2194.05615234375,76.73994229165014,2240.3600605482275,2190.42018957441,40.65730502924938,0.020480932309542954,2259.1239885602677
2024-04-06,2303.8662109375,2317.342529296875,2302.1298828125,2317.159912109375,6409043,2272.8045131138388,2202.801316034226,72.73786689242769,2250.1302375311925,2198.8235985642687,36.53007802579224,-0.005737066786976053,2272.8045131138388
2024-04-07,2289.18701171875,2311.24853515625,2286.477294921875,2303.8662109375,7751433,2282.555350167411,2210.839948381696,68.49035732236301,2256.1389720215857,2205.51718472386,28.63176715835552,-0.0063715502007283265,2282.555350167411
2024-04-08,2319.349609375,2326.658447265625,2286.1748046875,2289.18701171875,9481568,2294.7855398995534,2219.27984328497,72.09606354458326,2265.8636854605725,2213.9492161795,21.76517497601844,0.013176117766631634,2294.7855398995534
2024-04-09,2332.94140625,2347.504638671875,2317.2763671875,2319.23974609375,10116827,2304.7804478236603,2228.8676757812495,73.56409019698198,2276.183334812792,2222.7634524810187,20.765114641727035,0.00586017598212063,2304.7804478236603
2024-04-10,2323.704345703125,2340.181640625,2305.232666015625,2332.94140625,11093143,2308.123325892857,2235.503452845982,70.83657234002885,2283.494259565151,2230.2405556826566,21.782994856023286,-0.003959405290732465,2308.123325892857
2024-04-11,2365.912353515625,2367.43310546875,2318.196044921875,2323.704345703125,7555339,2321.7315499441966,2244.6628069196427,75.33647070533523,2296.173966326762,2240.290318485099,24.105279591890504,0.018164104177258666,2321.7315499441966
2024-04-12,2358.375,2425.041015625,2317.42431640625,2365.912353515625,26962985,2327.6194196428573,2254.577311197917,73.16537749026746,2305.743356122645,2249.037331930647,27.58490081427342,-0.003185812654650899,2327.6194196428573
2024-04-13,2447.331298828125,3097.8984375,2348.902099609375,2358.375,127262590,2348.114432198661,2268.8198939732147,80.35938376894627,2327.5261165388724,2263.7257739230527,50.649055328850665,0.037719318949753555,2348.114432198661
2024-04-14,2394.861083984375,2505.652587890625,2378.574951171875,2447.331298828125,64838315,2363.210728236607,2280.059105282738,68.66605317025876,2337.885342299719,2273.439500594262,45.66085545360718,-0.02143976782745949,2363.210728236607
2024-04-15,2436.097900390625,2474.654052734375,2343.49365234375,2394.861083984375,41103034,2379.8890555245534,2292.869663783482,72.10189600425768,2352.994966621397,2285.4882709495478,48.220082665285126,0.01721887615194939,2379.8890555245534
2024-04-16,2402.253662109375,2448.770263671875,2387.126953125,2436.097900390625,30650588,2389.790806361607,2304.1894414992553,65.73137164446095,2360.573227465701,2294.137559183609,43.89540484928397,-0.013892807130543972,2389.790806361607
2024-04-17,2395.954833984375,2417.839599609375,2385.270751953125,2402.250732421875,16653096,2400.1123046874995,2315.0172409784223,64.58760513883098,2366.0165515454974,2301.6795795392213,32.87775606096138,-0.002622049546370131,2400.1123046874995
2024-04-18,2387.431884765625,2405.699951171875,2385.30615234375,2395.954833984375,11033988,2403.1865234374995,2323.287574404762,62.99042448649954,2369.3112181947477,2308.0316021485846,30.02965674240764,-0.003557224492657385,2403.1865234374995
2024-04-19,2398.142822265625,2464.35498046875,2384.5791015625,2387.431884765625,29624194,2408.8676409040177,2331.870349702381,64.18894171744284,2373.746849590267,2314.7065073424396,23.101667773286692,0.004486384540789423,2408.8676409040177
