Date,Close,High,Low,Open,Volume,MA7,MA21,RSI,EMA12,EMA26,STD7,Daily_Return,SMMA7
2024-08-26,2492.838134765625,2524.200927734375,2487.39306640625,2512.222412109375,48395759,2455.774588448661,2382.3953334263397,62.26255988458936,2423.350205642986,2344.637676532452,47.868432482142126,-0.007715987744681407,2455.774588448661
2024-09-02,2498.377197265625,2529.289306640625,2476.3525390625,2492.838134765625,52886458,2468.566685267857,2387.324672154018,62.77432180755647,2434.892819738777,2356.0257891793535,45.118882274732094,0.002221990438428856,2468.566685267857
2024-09-09,2578.1220703125,2583.48681640625,2496.7080078125,2498.377197265625,46482128,2495.112165178571,2396.928513299851,69.24146366063093,2456.928089057811,2372.477365559587,47.37788661225657,0.03191866829962775,2495.112165178571
2024-09-16,2621.77294921875,2632.090576171875,2556.6689453125,2578.1220703125,59397826,2520.0001395089284,2409.738444010416,72.09883694888367,2482.2888367748787,2390.9437050898955,61.797490124322316,0.016931269240078706,2520.0001395089284
2024-09-23,2663.71826171875,2675.652099609375,2615.8359375,2621.77294921875,50228399,2553.0362723214284,2427.6799083891365,74.5458435923688,2510.2010559970126,2411.149227803144,68.6372497833369,0.015998834877176904,2553.0362723214284
2024-09-30,2678.7548828125,2700.48291015625,2626.940185546875,2663.71826171875,97611766,2577.9722726004466,2443.7553362165177,75.37945195450892,2536.1324139686258,2430.9718689149486,78.88205592278707,0.005644974286450166,2577.9722726004466
2024-10-07,2662.69970703125,2689.548828125,2615.875732421875,2678.7548828125,52540179,2599.4690290178573,2456.027215866816,72.64385732185663,2555.6043052090295,2448.1368939606004,78.48056310851581,-0.005993521797856061,2599.4690290178573
2024-10-14,2741.138671875,2749.61767578125,2650.524658203125,2662.69970703125,59193323,2634.9405343191966,2474.7481980096723,77.02981750894588,2584.1480539268714,2469.840729361667,78.36638202998482,0.029458434474086692,2634.9405343191966
2024-10-21,2748.128173828125,2776.173583984375,2727.216064453125,2741.138671875,86847386,2670.619245256696,2494.5403994605654,77.37786813146849,2609.3757646809104,2490.45461413696,60.688882570699455,0.0025498534695962416,2670.619245256696
2024-10-28,2745.12548828125,2785.53662109375,2737.2607421875,2748.128173828125,71467554,2694.476876395089,2515.2021251860115,76.83921499248939,2630.260337542501,2509.3191233328334,50.18298140855447,-0.0010926293669527576,2694.476876395089
2024-11-04,2664.97265625,2753.156982421875,2646.03466796875,2745.12548828125,122229160,2700.648263113839,2531.3781040736603,64.02638365766077,2635.600694266732,2520.8490146600307,41.68937838264635,-0.02919823970649682,2700.648263113839
2024-11-11,2579.77099609375,2666.90234375,2549.63623046875,2664.97265625,146270318,2688.655796595982,2544.1427525111603,53.76361536194036,2627.011509932427,2525.213605877343,61.46649429637819,-0.03197093221817182,2688.655796595982
2024-11-18,2732.019775390625,2742.81982421875,2579.187255859375,2579.77099609375,118486432,2696.2650669642853,2564.2968633742553,64.66345447613092,2643.166627695227,2540.5325813968457,63.305975390570005,0.059016393132339084,2696.2650669642853
2024-11-25,2655.36669921875,2732.689697265625,2626.837890625,2732.019775390625,96941037,2695.217494419642,2578.6175595238087,57.33493873731926,2645.043561775769,2549.0388123466164,64.01072873624332,-0.028057291847719212,2695.217494419642
2024-12-02,2626.6787109375,2656.27294921875,2617.956298828125,2655.36669921875,124702689,2678.866071428571,2589.8603980654757,54.830367054294925,2642.218200108343,2554.789915945941,64.93774894153748,-0.010803776476405513,2678.866071428571
