datetime,Symbol,Open,High,Low,Close,Volume
2020-08-01 05:30:00,BINANCE:PAXGUSDT,1945.95,2049.69,1940.01,1971.48,689.787707
2020-09-01 05:30:00,BINANCE:PAXGUSDT,1971.48,2007.5,1858.03,1901.34,3198.933692
2020-10-01 05:30:00,BINANCE:PAXGUSDT,1901.32,1951.2,1874.28,1895.55,2502.368245
2020-11-01 05:30:00,BINANCE:PAXGUSDT,1895.55,1978.06,1777.56,1797.62,8901.715754
2020-12-01 05:30:00,BINANCE:PAXGUSDT,1796.33,1950.0,1794.96,1932.98,11354.727495
2021-01-01 05:30:00,BINANCE:PAXGUSDT,1935.82,2100.85,1823.99,1878.12,40722.372195
2021-02-01 05:30:00,BINANCE:PAXGUSDT,1878.11,1886.36,1730.0,1744.61,73395.47425
2021-03-01 05:30:00,BINANCE:PAXGUSDT,1744.61,1771.83,1687.57,1713.55,56761.362492
2021-04-01 05:30:00,BINANCE:PAXGUSDT,1714.53,1833.0,1713.0,1784.38,105731.568318
2021-05-01 05:30:00,BINANCE:PAXGUSDT,1785.19,2039.52,1778.68,1916.9,236830.235006
2021-06-01 05:30:00,BINANCE:PAXGUSDT,1916.9,1925.0,1757.58,1777.22,131689.860454
2021-07-01 05:30:00,BINANCE:PAXGUSDT,1777.88,1841.0,1771.01,1818.55,84819.164219
2021-08-01 05:30:00,BINANCE:PAXGUSDT,1819.28,1835.93,1700.36,1816.0,65516.912234
2021-09-01 05:30:00,BINANCE:PAXGUSDT,1817.0,1847.31,1730.0,1763.0,77584.958465
2021-10-01 05:30:00,BINANCE:PAXGUSDT,1762.0,1820.0,1730.0,1779.0,53533.1353
2021-11-01 05:30:00,BINANCE:PAXGUSDT,1779.0,1885.0,1762.0,1776.0,61975.527869
2021-12-01 05:30:00,BINANCE:PAXGUSDT,1776.0,1839.0,1759.0,1835.0,70751.363
2022-01-01 05:30:00,BINANCE:PAXGUSDT,1835.0,1869.0,1772.0,1807.0,78830.3584
2022-02-01 05:30:00,BINANCE:PAXGUSDT,1807.0,2076.0,1794.0,1895.0,191522.774728
2022-03-01 05:30:00,BINANCE:PAXGUSDT,1895.0,2071.0,1880.0,1937.0,217626.777
2022-04-01 05:30:00,BINANCE:PAXGUSDT,1937.0,1999.0,1880.0,1899.0,88344.6278
2022-05-01 05:30:00,BINANCE:PAXGUSDT,1899.0,1954.0,1791.0,1837.0,112280.3732
2022-06-01 05:30:00,BINANCE:PAXGUSDT,1838.0,1897.0,1802.0,1816.0,84618.9671
2022-07-01 05:30:00,BINANCE:PAXGUSDT,1816.0,1821.0,1678.0,1763.0,63755.412531
2022-08-01 05:30:00,BINANCE:PAXGUSDT,1763.0,1802.0,1700.0,1703.0,44955.4806
2022-09-01 05:30:00,BINANCE:PAXGUSDT,1702.0,1734.0,1606.0,1656.0,45264.0067
2022-10-01 05:30:00,BINANCE:PAXGUSDT,1656.0,1722.0,1610.0,1627.0,25374.5686
2022-11-01 05:30:00,BINANCE:PAXGUSDT,1628.0,1786.0,1612.0,1763.0,98133.8368
2022-12-01 05:30:00,BINANCE:PAXGUSDT,1763.0,1827.0,1762.0,1822.0,25111.5074
2023-01-01 05:30:00,BINANCE:PAXGUSDT,1822.0,1927.0,1815.0,1898.0,26753.193
2023-02-01 05:30:00,BINANCE:PAXGUSDT,1899.0,1924.0,1716.0,1809.0,35025.0468
2023-03-01 05:30:00,BINANCE:PAXGUSDT,1808.0,2031.0,1797.0,1976.0,61751.7346
2023-04-01 05:30:00,BINANCE:PAXGUSDT,1977.0,2054.0,1962.0,1999.0,38354.3686
2023-05-01 05:30:00,BINANCE:PAXGUSDT,1999.0,2087.0,1947.0,1969.0,35330.2249
2023-06-01 05:30:00,BINANCE:PAXGUSDT,1968.0,1986.0,1884.0,1902.0,37739.2432
2023-07-01 05:30:00,BINANCE:PAXGUSDT,1903.0,1968.0,1882.0,1954.0,26993.2396
2023-08-01 05:30:00,BINANCE:PAXGUSDT,1954.0,1954.0,1865.0,1918.0,18087.4738
2023-09-01 05:30:00,BINANCE:PAXGUSDT,1918.0,1934.0,1862.0,1868.0,12049.4317
