Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2024-03-11,5117.08984375,5179.8701171875,5091.14013671875,5111.9599609375,24701470000
2024-03-18,5234.18017578125,5261.10009765625,5131.58984375,5154.77001953125,19715260000
2024-03-25,5254.35009765625,5264.85009765625,5203.419921875,5219.52001953125,15051920000
2024-04-01,5204.33984375,5263.9501953125,5146.06005859375,5257.97021484375,18378230000
2024-04-08,5123.41015625,5224.81005859375,5107.93994140625,5211.3701171875,17997390000
2024-04-15,4967.22998046875,5168.43017578125,4953.56005859375,5149.669921875,19051050000
2024-04-22,5099.9599609375,5114.6201171875,4969.39990234375,4987.330078125,18790580000
2024-04-29,5127.7900390625,5139.1201171875,5011.0498046875,5114.1298828125,20380740000
2024-05-06,5222.68017578125,5239.66015625,5142.419921875,5142.419921875,18858510000
2024-05-13,5303.27001953125,5325.490234375,5211.16015625,5233.080078125,20775690000
2024-05-20,5304.72021484375,5341.8798828125,5256.93017578125,5305.35009765625,17804500000
2024-05-27,5277.509765625,5315.91015625,5191.68017578125,5315.91015625,16560200000
2024-06-03,5346.990234375,5375.080078125,5234.31982421875,5297.14990234375,18649030000
2024-06-10,5431.60009765625,5447.25,5327.25,5341.22021484375,18122180000
2024-06-17,5464.6201171875,5505.52978515625,5420.39990234375,5431.10986328125,17613030000
2024-06-24,5460.47998046875,5523.64013671875,5446.56005859375,5459.580078125,21641380000
2024-07-01,5567.18994140625,5570.330078125,5446.52978515625,5471.080078125,12251260000
2024-07-08,5615.35009765625,5655.56005859375,5562.509765625,5572.75,17475920000
2024-07-15,5505.0,5669.669921875,5497.0400390625,5638.16015625,19676760000
2024-07-22,5459.10009765625,5585.33984375,5390.9501953125,5544.5400390625,19051830000
2024-07-29,5346.56005859375,5566.16015625,5302.02978515625,5476.5498046875,21564690000
2024-08-05,5344.16015625,5358.669921875,5119.259765625,5151.14013671875,22114930000
2024-08-12,5554.25,5561.97998046875,5324.3701171875,5351.8798828125,17470190000
2024-08-19,5634.60986328125,5643.22021484375,5550.740234375,5557.22998046875,15609610000
2024-08-26,5648.39990234375,5651.6201171875,5560.9501953125,5639.66015625,16042500000
2024-09-02,5408.419921875,5623.89013671875,5402.6201171875,5623.89013671875,14688940000
2024-09-09,5626.02001953125,5636.27001953125,5406.9599609375,5442.06982421875,18669430000
2024-09-16,5702.5498046875,5733.56982421875,5604.52978515625,5615.2099609375,22463850000
2024-09-23,5738.169921875,5767.3701171875,5698.990234375,5711.89990234375,19316880000
2024-09-30,5751.06982421875,5765.14013671875,5674.0,5726.52001953125,19356810000
2024-10-07,5815.02978515625,5822.1298828125,5686.85009765625,5737.7998046875,17099040000
2024-10-14,5864.669921875,5878.4599609375,5804.47998046875,5829.81005859375,17209100000
