datetime,Symbol,Open,High,Low,Close,Volume
2025-12-16 07:30:00,BINANCE:PAXGUSDT,4320.47,4324.45,4300.5,4304.39,320.3887
2025-12-16 08:30:00,BINANCE:PAXGUSDT,4304.39,4306.67,4295.04,4304.25,577.608
2025-12-16 09:30:00,BINANCE:PAXGUSDT,4304.25,4304.67,4300.43,4303.01,111.7942
2025-12-16 10:30:00,BINANCE:PAXGUSDT,4303.05,4305.03,4287.68,4297.5,363.2886
2025-12-16 11:30:00,BINANCE:PAXGUSDT,4297.5,4302.05,4296.03,4301.2,134.6408
2025-12-16 12:30:00,BINANCE:PAXGUSDT,4301.21,4301.24,4292.6,4300.0,142.2657
2025-12-16 13:30:00,BINANCE:PAXGUSDT,4300.01,4301.59,4288.47,4297.85,230.7214
2025-12-16 14:30:00,BINANCE:PAXGUSDT,4297.84,4297.84,4289.21,4291.05,96.0819
2025-12-16 15:30:00,BINANCE:PAXGUSDT,4291.05,4295.46,4287.75,4289.63,203.7034
2025-12-16 16:30:00,BINANCE:PAXGUSDT,4289.64,4291.35,4287.05,4291.18,104.1996
2025-12-16 17:30:00,BINANCE:PAXGUSDT,4291.18,4307.44,4290.04,4307.19,164.0221
2025-12-16 18:30:00,BINANCE:PAXGUSDT,4307.2,4324.5,4304.18,4324.49,506.6149
2025-12-16 19:30:00,BINANCE:PAXGUSDT,4324.49,4344.61,4323.49,4338.24,609.6267
2025-12-16 20:30:00,BINANCE:PAXGUSDT,4338.24,4348.05,4328.38,4334.85,529.18
2025-12-16 21:30:00,BINANCE:PAXGUSDT,4334.86,4337.42,4308.45,4316.18,653.7611
2025-12-16 22:30:00,BINANCE:PAXGUSDT,4316.19,4324.67,4315.82,4317.95,152.8634
2025-12-16 23:30:00,BINANCE:PAXGUSDT,4317.95,4326.2,4313.46,4324.7,244.1804
2025-12-17 00:30:00,BINANCE:PAXGUSDT,4324.7,4328.55,4313.22,4324.37,303.973
2025-12-17 01:30:00,BINANCE:PAXGUSDT,4324.4,4327.89,4317.55,4318.09,151.8888
2025-12-17 02:30:00,BINANCE:PAXGUSDT,4318.64,4318.65,4312.5,4313.33,272.2383
2025-12-17 03:30:00,BINANCE:PAXGUSDT,4313.33,4316.35,4313.33,4316.34,49.821
2025-12-17 04:30:00,BINANCE:PAXGUSDT,4316.34,4323.53,4313.37,4322.11,371.0547
2025-12-17 05:30:00,BINANCE:PAXGUSDT,4322.11,4328.35,4322.11,4328.35,119.5785
2025-12-17 06:30:00,BINANCE:PAXGUSDT,4328.34,4337.6,4327.95,4337.34,418.1727
