datetime,Symbol,Open,High,Low,Close,Volume
2025-11-04 08:30:00,TVC:GOLD,3986.678,3999.34,3981.41,3994.51,97647.0
2025-11-04 09:30:00,TVC:GOLD,3994.75,3995.178,3983.78,3985.61,81470.0
2025-11-04 10:30:00,TVC:GOLD,3985.59,3987.08,3972.41,3973.078,122873.0
2025-11-04 11:30:00,TVC:GOLD,3973.06,3988.16,3966.395,3985.06,132218.0
2025-11-04 12:30:00,TVC:GOLD,3984.98,3996.382,3982.05,3993.9,92653.0
2025-11-04 13:30:00,TVC:GOLD,3993.662,4000.67,3990.445,3996.19,104117.0
2025-11-04 14:30:00,TVC:GOLD,3995.895,3999.442,3990.235,3991.15,94939.0
2025-11-04 15:30:00,TVC:GOLD,3991.15,3997.64,3985.74,3993.97,93551.0
2025-11-04 16:30:00,TVC:GOLD,3993.97,4000.16,3991.465,3994.725,75035.0
2025-11-04 17:30:00,TVC:GOLD,3994.822,3997.572,3983.37,3984.74,99842.0
2025-11-04 18:30:00,TVC:GOLD,3984.648,3995.94,3971.648,3975.75,143367.0
2025-11-04 19:30:00,TVC:GOLD,3975.445,3977.79,3928.42,3956.992,190076.0
2025-11-04 20:30:00,TVC:GOLD,3956.85,3968.09,3940.98,3956.782,161378.0
2025-11-04 21:30:00,TVC:GOLD,3956.79,3975.7,3956.515,3968.872,135198.0
2025-11-04 22:30:00,TVC:GOLD,3968.96,3971.0,3952.09,3955.0,126920.0
2025-11-04 23:30:00,TVC:GOLD,3954.948,3956.79,3931.73,3937.86,138895.0
2025-11-05 00:30:00,TVC:GOLD,3937.86,3944.28,3934.19,3937.38,118672.0
2025-11-05 01:30:00,TVC:GOLD,3937.2,3942.26,3931.255,3938.65,116647.0
2025-11-05 02:30:00,TVC:GOLD,3938.505,3939.09,3930.15,3931.95,42420.0
2025-11-05 04:30:00,TVC:GOLD,3931.63,3940.613,3930.695,3934.328,58384.0
2025-11-05 05:30:00,TVC:GOLD,3934.76,3942.93,3929.49,3939.84,105671.0
2025-11-05 06:30:00,TVC:GOLD,3939.84,3949.462,3934.18,3936.72,132607.0
2025-11-05 07:30:00,TVC:GOLD,3936.96,3951.08,3935.31,3948.365,121052.0
2025-11-05 08:30:00,TVC:GOLD,3948.28,3965.17,3947.312,3960.84,91774.0
2025-11-05 09:30:00,TVC:GOLD,3960.758,3973.702,3959.585,3970.3,83208.0
2025-11-05 10:30:00,TVC:GOLD,3970.21,3978.63,3961.648,3964.52,106879.0
2025-11-05 11:30:00,TVC:GOLD,3964.89,3973.63,3961.662,3966.42,99913.0
2025-11-05 12:30:00,TVC:GOLD,3966.208,3974.83,3963.485,3972.63,84978.0
2025-11-05 13:30:00,TVC:GOLD,3972.512,3987.11,3972.285,3979.85,106017.0
2025-11-05 14:30:00,TVC:GOLD,3979.82,3981.29,3963.305,3971.78,90145.0
2025-11-05 15:30:00,TVC:GOLD,3971.8,3971.86,3955.825,3964.48,91451.0
2025-11-05 16:30:00,TVC:GOLD,3964.378,3968.987,3957.195,3966.87,76474.0
2025-11-05 17:30:00,TVC:GOLD,3966.792,3969.95,3961.945,3969.55,74760.0
2025-11-05 18:30:00,TVC:GOLD,3969.452,3979.47,3964.54,3975.74,124152.0
2025-11-05 19:30:00,TVC:GOLD,3975.78,3985.608,3969.36,3973.548,146897.0
2025-11-05 20:30:00,TVC:GOLD,3973.47,3984.358,3963.53,3978.22,164505.0
2025-11-05 21:30:00,TVC:GOLD,3978.232,3990.4,3974.72,3986.68,120862.0
2025-11-05 22:30:00,TVC:GOLD,3986.83,3989.65,3978.395,3982.09,89296.0
2025-11-05 23:30:00,TVC:GOLD,3982.072,3986.4,3978.735,3982.87,82488.0
2025-11-06 00:30:00,TVC:GOLD,3982.88,3989.21,3978.985,3987.59,77754.0
2025-11-06 01:30:00,TVC:GOLD,3987.79,3990.61,3981.36,3984.28,82214.0
2025-11-06 02:30:00,TVC:GOLD,3984.28,3985.28,3977.758,3979.755,31766.0
2025-11-06 04:30:00,TVC:GOLD,3980.69,3985.038,3966.095,3973.56,58471.0
2025-11-06 05:30:00,TVC:GOLD,3973.56,3976.05,3969.13,3976.022,76777.0
2025-11-06 06:30:00,TVC:GOLD,3976.088,3977.418,3964.35,3976.58,95072.0
