Datetime,Close,High,Low,Open,Volume
2026-01-09 00:00:00+00:00,91205.7734375,91211.65625,90984.6875,91019.5859375,0
2026-01-09 01:00:00+00:00,90976.4921875,91412.484375,90795.625,91193.8671875,152719360
2026-01-09 02:00:00+00:00,90932.5546875,91373.53125,90932.5546875,90972.578125,0
2026-01-09 03:00:00+00:00,91112.8046875,91160.609375,90893.7265625,90947.7265625,0
2026-01-09 04:00:00+00:00,90939.28125,91125.5546875,90842.0078125,91125.5546875,0
2026-01-09 05:00:00+00:00,90971.515625,91001.1328125,90826.6015625,90927.3046875,0
2026-01-09 06:00:00+00:00,91027.09375,91027.09375,90882.609375,90975.1328125,0
2026-01-09 07:00:00+00:00,90687.078125,91024.6640625,90687.078125,91024.6640625,0
2026-01-09 08:00:00+00:00,89845.1328125,90730.6484375,89628.5703125,90649.5,793100288
2026-01-09 09:00:00+00:00,90222.0234375,90304.2265625,89872.390625,89872.390625,0
2026-01-09 10:00:00+00:00,90404.4609375,90431.421875,90183.75,90228.046875,0
2026-01-09 11:00:00+00:00,90337.78125,90560.6640625,90314.0234375,90380.5390625,0
2026-01-09 12:00:00+00:00,90348.6640625,90463.0859375,90144.3515625,90345.2265625,0
2026-01-09 13:00:00+00:00,90550.796875,90682.0,90337.9375,90350.171875,619769856
2026-01-09 14:00:00+00:00,90056.421875,90492.671875,89896.546875,90480.234375,0
2026-01-09 15:00:00+00:00,90999.8203125,91864.40625,89794.6640625,90038.875,2035843072
2026-01-09 16:00:00+00:00,91527.2890625,91662.3515625,91028.7109375,91028.7109375,535068672
2026-01-09 17:00:00+00:00,91343.59375,91542.765625,90967.609375,91516.171875,0
2026-01-09 18:00:00+00:00,90781.109375,91396.7265625,90432.0703125,91343.5390625,0
2026-01-09 19:00:00+00:00,90267.0546875,90643.8828125,90150.90625,90631.2890625,889446400
2026-01-09 20:00:00+00:00,90185.78125,90447.5078125,90144.8046875,90144.8046875,0
2026-01-09 21:00:00+00:00,90421.0390625,90483.921875,90117.078125,90166.140625,0
2026-01-09 22:00:00+00:00,90502.359375,90542.6875,90259.3125,90413.21875,0
2026-01-09 23:00:00+00:00,90490.7734375,90595.9140625,90490.7734375,90513.7890625,0
2026-01-10 00:00:00+00:00,90477.046875,90560.8125,90417.703125,90509.2109375,0
2026-01-10 01:00:00+00:00,90567.203125,90601.7734375,90469.7421875,90471.671875,0
2026-01-10 02:00:00+00:00,90543.375,90655.21875,90479.7578125,90560.3515625,0
2026-01-10 03:00:00+00:00,90507.671875,90556.75,90430.21875,90556.75,0
2026-01-10 04:00:00+00:00,90326.484375,90514.7734375,90311.09375,90512.125,0
2026-01-10 05:00:00+00:00,90484.0546875,90493.0625,90314.5078125,90344.859375,0
2026-01-10 06:00:00+00:00,90383.640625,90477.8125,90352.6171875,90474.2734375,15286272
2026-01-10 07:00:00+00:00,90537.1953125,90546.71875,90374.875,90377.0703125,0
2026-01-10 08:00:00+00:00,90531.078125,90614.96875,90499.1171875,90546.8046875,0
2026-01-10 09:00:00+00:00,90616.21875,90621.734375,90514.4375,90539.90625,0
