Datetime,Close,High,Low,Open,Volume
2026-01-09 00:00:00+00:00,4466.9453125,4479.86962890625,4466.9453125,4478.42578125,0
2026-01-09 01:00:00+00:00,4474.37158203125,4474.37158203125,4463.63916015625,4466.7919921875,144768
2026-01-09 02:00:00+00:00,4475.85498046875,4479.615234375,4474.63330078125,4474.63330078125,0
2026-01-09 03:00:00+00:00,4471.6533203125,4476.44970703125,4470.45849609375,4476.0224609375,0
2026-01-09 04:00:00+00:00,4470.4052734375,4471.82080078125,4468.47216796875,4471.759765625,0
2026-01-09 05:00:00+00:00,4472.7265625,4473.88916015625,4466.45458984375,4470.31591796875,0
2026-01-09 06:00:00+00:00,4478.2783203125,4478.904296875,4472.48388671875,4473.04150390625,0
2026-01-09 07:00:00+00:00,4475.1044921875,4478.78564453125,4474.93359375,4478.140625,0
2026-01-09 08:00:00+00:00,4470.6982421875,4478.44873046875,4469.51025390625,4474.99462890625,0
2026-01-09 09:00:00+00:00,4476.64794921875,4478.462890625,4470.77587890625,4470.77587890625,0
2026-01-09 10:00:00+00:00,4475.90576171875,4477.64111328125,4474.47412109375,4476.0126953125,0
2026-01-09 11:00:00+00:00,4477.0087890625,4478.98828125,4474.47021484375,4476.0263671875,0
2026-01-09 12:00:00+00:00,4470.84521484375,4481.02197265625,4469.21337890625,4477.10205078125,0
2026-01-09 13:00:00+00:00,4484.07373046875,4487.85009765625,4470.5322265625,4470.9677734375,8988288
2026-01-09 14:00:00+00:00,4495.07666015625,4495.951171875,4484.6015625,4484.63525390625,11592432
2026-01-09 15:00:00+00:00,4510.23876953125,4512.99462890625,4495.77490234375,4496.08740234375,0
2026-01-09 16:00:00+00:00,4507.14306640625,4512.2041015625,4502.4599609375,4510.68798828125,0
2026-01-09 17:00:00+00:00,4484.3203125,4508.64697265625,4484.25830078125,4507.740234375,7481936
2026-01-09 18:00:00+00:00,4495.7607421875,4501.0517578125,4483.96923828125,4484.1298828125,256720
2026-01-09 19:00:00+00:00,4498.24609375,4498.75439453125,4494.1728515625,4495.90185546875,0
2026-01-09 20:00:00+00:00,4504.755859375,4505.03515625,4497.25634765625,4497.25634765625,0
2026-01-09 21:00:00+00:00,4507.61865234375,4508.2265625,4503.7978515625,4505.25146484375,0
2026-01-09 22:00:00+00:00,4504.6650390625,4509.57568359375,4503.43505859375,4507.5380859375,32464
2026-01-09 23:00:00+00:00,4503.3330078125,4506.58935546875,4503.3330078125,4504.9189453125,0
2026-01-10 00:00:00+00:00,4503.18994140625,4503.84326171875,4502.796875,4503.24658203125,0
2026-01-10 01:00:00+00:00,4504.17626953125,4504.8369140625,4503.302734375,4503.60009765625,0
2026-01-10 02:00:00+00:00,4501.763671875,4504.9228515625,4501.763671875,4504.1669921875,0
2026-01-10 03:00:00+00:00,4503.28466796875,4503.52392578125,4501.14697265625,4501.220703125,0
2026-01-10 04:00:00+00:00,4505.17138671875,4505.17138671875,4503.35302734375,4503.35302734375,0
2026-01-10 05:00:00+00:00,4506.580078125,4508.0009765625,4505.14599609375,4505.14599609375,0
2026-01-10 06:00:00+00:00,4507.8017578125,4508.23876953125,4506.13818359375,4506.470703125,0
2026-01-10 07:00:00+00:00,4507.01220703125,4507.85302734375,4506.61865234375,4507.822265625,472976
2026-01-10 08:00:00+00:00,4510.3720703125,4510.3720703125,4506.97900390625,4506.97900390625,0
2026-01-10 09:00:00+00:00,4509.302734375,4510.5234375,4508.60986328125,4510.30078125,0
2026-01-10 10:00:00+00:00,4510.51904296875,4512.86181640625,4509.46826171875,4509.46826171875,1209280
2026-01-10 11:00:00+00:00,4512.37158203125,4512.37158203125,4509.91357421875,4510.6162109375,0
2026-01-10 12:00:00+00:00,4512.75048828125,4513.42529296875,4512.32763671875,4512.3486328125,0
2026-01-10 13:00:00+00:00,4513.16748046875,4513.33203125,4511.59423828125,4512.66943359375,0
2026-01-10 14:00:00+00:00,4512.9814453125,4513.67626953125,4512.5439453125,4513.13330078125,0
2026-01-10 15:00:00+00:00,4513.07763671875,4513.96044921875,4512.16357421875,4513.0556640625,0
