Date,Close,High,Low,Open,Volume
2024-03-04,2140.946044921875,2143.625,2124.643310546875,2135.247314453125,18539692
2024-03-11,2120.375732421875,2168.923828125,2109.298828125,2140.95654296875,81184799
2024-03-18,2158.837646484375,2197.18310546875,2117.033935546875,2120.375732421875,76136585
2024-03-25,2220.93115234375,2221.425048828125,2151.500244140625,2158.837646484375,48848789
2024-04-01,2289.18701171875,2321.208740234375,2213.699951171875,2220.925537109375,73892998
2024-04-08,2394.861083984375,3097.8984375,2286.1748046875,2289.18701171875,257310767
2024-04-15,2376.44140625,2474.654052734375,2343.49365234375,2394.861083984375,149757967
2024-04-22,2352.764404296875,2382.37548828125,2288.4189453125,2376.409912109375,65259891
2024-04-29,2286.947509765625,2357.717529296875,2275.605224609375,2352.764404296875,54771832
2024-05-06,2341.1708984375,2357.283203125,2283.754638671875,2286.94580078125,49049426
2024-05-13,2404.990234375,2413.732421875,2319.943603515625,2341.1708984375,62568125
2024-05-20,2347.998046875,2425.587890625,2332.146484375,2404.990234375,90368903
2024-05-27,2332.491943359375,2366.583251953125,2322.05908203125,2347.998046875,53168794
2024-06-03,2311.229248046875,2368.318359375,2299.101318359375,2332.50146484375,52840487
2024-06-10,2325.277099609375,2344.801025390625,2295.728759765625,2311.364501953125,42916301
2024-06-17,2311.71337890625,2348.64794921875,2305.333251953125,2325.2587890625,32798560
2024-06-24,2308.783447265625,2319.28662109375,2288.72900390625,2311.683349609375,30991928
2024-07-01,2354.632080078125,2361.481689453125,2306.932373046875,2308.676025390625,74990885
2024-07-08,2390.5791015625,2407.333251953125,2328.485107421875,2354.757568359375,43272682
2024-07-15,2408.83251953125,2462.8740234375,2384.10498046875,2391.061767578125,63821208
2024-07-22,2392.3037109375,2417.92578125,2359.462158203125,2408.83251953125,43751043
2024-07-29,2447.55712890625,2496.93115234375,2376.330322265625,2392.3056640625,84234769
2024-08-05,2432.46533203125,2459.37060546875,2343.444580078125,2447.55712890625,107269474
2024-08-12,2504.202880859375,2522.1025390625,2422.519775390625,2432.46533203125,73345948
2024-08-19,2512.222412109375,2521.51708984375,2478.666259765625,2504.202880859375,51324686
2024-08-26,2492.838134765625,2524.200927734375,2487.39306640625,2512.222412109375,48395759
2024-09-02,2498.377197265625,2529.289306640625,2476.3525390625,2492.838134765625,52886458
2024-09-09,2578.1220703125,2583.48681640625,2496.7080078125,2498.377197265625,46482128
2024-09-16,2621.77294921875,2632.090576171875,2556.6689453125,2578.1220703125,59397826
2024-09-23,2663.71826171875,2675.652099609375,2615.8359375,2621.77294921875,50228399
2024-09-30,2678.7548828125,2700.48291015625,2626.940185546875,2663.71826171875,97611766
2024-10-07,2662.69970703125,2689.548828125,2615.875732421875,2678.7548828125,52540179
2024-10-14,2741.138671875,2749.61767578125,2650.524658203125,2662.69970703125,59193323
2024-10-21,2748.128173828125,2776.173583984375,2727.216064453125,2741.138671875,86847386
2024-10-28,2745.12548828125,2785.53662109375,2737.2607421875,2748.128173828125,71467554
