datetime,Symbol,Open,High,Low,Close,Volume,RSI_14,SMA_20,SMA_50,EMA_20,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,ATRr_14,Target_Close
2025-11-06 11:30:00,TVC:GOLD,3991.425,3992.83,3982.035,3991.425,79593.0,58.603484357232325,3979.8154,3971.8813999999998,3980.4718923617424,4.499761978108836,1.1827779662710616,3.3169840118377745,3964.480854076018,3979.8154,3995.1499459239817,0.7706159398238295,0.8785439770291448,11.902288276059021,4005.6
2025-11-06 12:30:00,TVC:GOLD,4005.6,4009.48,3990.915,4005.6,92398.0,66.70776101609047,3981.8714,3972.1031999999996,3982.865045470148,5.931672060827623,2.0917504391918786,3.839921621635744,3964.3269733678017,3981.8714,3999.4158266321983,0.8812151307648126,1.176243245146926,12.378196256340525,4014.86
2025-11-06 13:30:00,TVC:GOLD,4014.86,4016.852,4004.415,4014.86,94209.0,70.73796965128905,3984.2709000000004,3972.6881999999996,3985.9121839968006,7.724630991039248,3.107767495522803,4.616863495516445,3962.7002741359142,3984.2709000000004,4005.8415258640866,1.0827891177824376,1.2090452588797787,12.382396523744767,4010.93
2025-11-06 14:30:00,TVC:GOLD,4010.93,4015.18,4008.935,4010.93,78122.0,67.02932179619737,3986.3399,3973.44524,3988.2948331399625,8.727836637318887,3.2887785134419536,5.439058123876934,3962.8607983324373,3986.3399,4009.8190016675626,1.177977907381287,1.0236593023908607,11.94401105776299,4008.16
2025-11-06 15:30:00,TVC:GOLD,4008.16,4011.17,4004.155,4008.16,74451.0,64.46394143826336,3987.9609,3973.9072399999995,3990.1867537932994,9.193392780274735,3.0034677251182407,6.189925055156494,3963.1257378056234,3987.9609,4012.7960621943766,1.2455068049627371,0.9066633397017531,11.59193883935134,4018.09
2025-11-06 16:30:00,TVC:GOLD,4018.09,4019.557,4006.765,4018.09,76861.0,69.03862760393609,3990.188,3974.3910399999995,3992.8442058129854,10.245513487373955,3.2444707457739685,7.001042741599987,3962.9249091685456,3990.188,4017.4510908314546,1.3665065822189089,1.0117174749645113,11.67765749368338,4005.148
2025-11-06 17:30:00,TVC:GOLD,4005.148,4019.57,4002.615,4005.148,86717.0,58.47322756089706,3991.5344000000005,3974.5702,3994.015995735558,9.92065633780885,2.3356908769670905,7.58496546084176,3964.1007506857973,3991.5344000000005,4018.9680493142037,1.3745916514813548,0.7481186488184699,12.054610529848881,4011.89
2025-11-06 18:30:00,TVC:GOLD,4011.89,4016.207,4003.455,4011.89,108261.0,61.756615175859494,3992.7949000000003,3974.985,3995.7182818559813,10.090906077177351,2.004752493068473,8.086153584108878,3964.0166833045837,3992.7949000000003,4021.573116695417,1.441507385987526,0.8317630866793899,12.104424063431102,3993.25
2025-11-06 19:30:00,TVC:GOLD,3993.25,4013.941,3988.805,3993.25,163119.0,49.988521587737196,3993.3529,3974.9706,3995.4832073935067,8.622344977512967,0.4289531147232708,8.193391862789696,3965.0192960202,3993.3529,4021.6865039798,1.419038321396541,0.4981841349926182,13.035250916043164,3979.98
2025-11-06 20:30:00,TVC:GOLD,3979.98,3993.752,3974.895,3979.98,186016.0,43.61642445146218,3993.2084000000004,3974.6757000000002,3994.006711451268,6.314927079171412,-1.5027718268946275,7.817698906066039,3964.621347535827,3993.2084000000004,4021.7954524641736,1.43178364866573,0.26862952176376104,13.451090136325794,3980.888
2025-11-06 21:30:00,TVC:GOLD,3980.888,3986.33,3976.23,3980.888,152184.0,44.14111586808029,3992.8733,3974.59866,3992.757310360671,4.507589100936457,-2.6480878441036664,7.155676945040123,3963.855073610731,3992.8733,4021.8915263892695,1.4535009858323993,0.2934866893789151,13.21172655515966,3986.1
2025-11-06 22:30:00,TVC:GOLD,3986.1,3988.16,3965.425,3986.1,155053.0,47.179595379324454,3992.9643,3974.80566,3992.123280802512,3.4559871054425457,-2.959751871678062,6.415738977120608,3964.0483050957055,3992.9643,4021.8802949042947,1.4483472794532433,0.3813061763442783,13.891960372648231,3987.54
2025-11-06 23:30:00,TVC:GOLD,3987.54,3990.82,3979.94,3987.54,121035.0,48.020866270743745,3993.3535500000003,3975.4166200000004,3991.6867778689393,2.7075697345517256,-2.9665353940551062,5.674105128606832,3964.981780380221,3993.3535500000003,4021.7253196197794,1.420949548520647,0.3975469264358568,13.676820346030508,3985.33
