datetime,Symbol,Open,High,Low,Close,Volume
1990-07-02 09:15:00,NSE:NIFTY,279.01999,347.44,279.01999,347.44,0.0
1990-08-01 09:15:00,NSE:NIFTY,337.29001,400.06,322.10999,400.06,0.0
1990-09-03 09:15:00,NSE:NIFTY,407.13,452.35999,389.82001,439.72,0.0
1990-10-01 09:15:00,NSE:NIFTY,439.54999,480.38,383.75,403.66,0.0
1990-11-01 09:15:00,NSE:NIFTY,412.89999,435.17999,367.69,367.69,0.0
1990-12-03 09:15:00,NSE:NIFTY,371.14001,382.16,326.92999,330.85999,0.0
1991-01-01 09:15:00,NSE:NIFTY,318.95001,326.37,306.22,314.35999,0.0
1991-02-01 09:15:00,NSE:NIFTY,324.29001,379.94,322.23999,379.94,0.0
1991-03-01 09:15:00,NSE:NIFTY,381.5,385.62,361.29999,366.45001,0.0
1991-04-01 09:15:00,NSE:NIFTY,372.70001,406.92999,372.70001,389.01001,0.0
1991-05-01 09:15:00,NSE:NIFTY,397.14999,411.85999,392.26001,403.17999,0.0
1991-06-03 09:15:00,NSE:NIFTY,400.01999,415.82999,386.92001,391.95999,0.0
1991-07-01 09:15:00,NSE:NIFTY,393.60001,503.09,393.60001,498.70999,0.0
1991-08-01 09:15:00,NSE:NIFTY,498.19,545.65997,487.56,531.96997,0.0
1991-09-02 09:15:00,NSE:NIFTY,524.72998,563.22998,521.79999,553.78998,0.0
1991-10-01 09:15:00,NSE:NIFTY,548.39001,554.40002,510.57001,554.40002,0.0
1991-11-01 09:15:00,NSE:NIFTY,559.59003,572.28003,549.91998,563.16998,0.0
1991-12-02 09:15:00,NSE:NIFTY,563.45001,563.45001,533.57001,558.63,0.0
1992-01-01 09:15:00,NSE:NIFTY,572.82001,684.92999,572.82001,684.92999,0.0
1992-02-03 09:15:00,NSE:NIFTY,673.65997,813.13,651.44,813.13,0.0
1992-03-02 09:15:00,NSE:NIFTY,982.29999,1261.65,906.96997,1261.65,0.0
1992-04-01 09:15:00,NSE:NIFTY,1275.51,1280.92,1065.64,1105.55,0.0
1992-05-01 09:15:00,NSE:NIFTY,1011.11,1032.16,826.15997,826.15997,0.0
1992-06-01 09:15:00,NSE:NIFTY,829.91998,873.70001,829.91998,855.84003,0.0
1992-07-01 09:15:00,NSE:NIFTY,816.88,816.88,755.21002,767.94,0.0
1992-08-03 09:15:00,NSE:NIFTY,765.71997,862.48999,705.85999,850.85999,0.0
1992-09-01 09:15:00,NSE:NIFTY,862.97998,961.56,856.82001,938.14001,0.0
1992-10-01 09:15:00,NSE:NIFTY,944.84998,944.84998,809.87,809.87,0.0
1992-11-02 09:15:00,NSE:NIFTY,835.5,836.69,698.27002,726.38,0.0
1992-12-01 09:15:00,NSE:NIFTY,737.28003,785.57001,690.66998,761.31,0.0
1993-01-01 09:15:00,NSE:NIFTY,744.91998,785.28003,705.0,785.28003,0.0
1993-02-01 09:15:00,NSE:NIFTY,772.75,821.98999,764.12,821.98999,0.0
1993-03-01 09:15:00,NSE:NIFTY,749.89001,749.89001,644.08002,660.51001,0.0
1993-04-01 09:15:00,NSE:NIFTY,671.35999,694.90002,599.51001,622.41998,0.0
1993-05-03 09:15:00,NSE:NIFTY,613.44,695.25,613.44,656.15997,0.0
1993-06-01 09:15:00,NSE:NIFTY,670.25,715.76001,648.47998,667.5,0.0
1993-07-01 09:15:00,NSE:NIFTY,668.66998,706.83002,637.03998,706.83002,0.0
1993-08-02 09:15:00,NSE:NIFTY,713.06,833.27002,711.22998,799.65002,0.0
1993-09-01 09:15:00,NSE:NIFTY,797.94,852.38,770.95001,827.13,0.0
1993-10-01 09:15:00,NSE:NIFTY,814.33002,839.90002,802.38,817.17999,0.0
1993-11-01 09:15:00,NSE:NIFTY,801.67999,988.88,799.59003,988.88,0.0
1993-12-01 09:15:00,NSE:NIFTY,1007.96,1069.78,969.92999,1042.59,0.0
1994-01-03 09:15:00,NSE:NIFTY,1083.74,1272.87,1082.8,1246.59,0.0
1994-02-01 09:15:00,NSE:NIFTY,1229.9301,1349.49,1195.39,1349.49,0.0
1994-03-01 09:15:00,NSE:NIFTY,1304.4,1304.4,1153.84,1177.11,0.0
1994-04-01 09:15:00,NSE:NIFTY,1182.33,1229.7,1147.98,1150.66,0.0
1994-05-02 09:15:00,NSE:NIFTY,1148.76,1210.8199,1121.63,1187.1899,0.0
1994-06-01 09:15:00,NSE:NIFTY,1186.0601,1318.5601,1186.0601,1249.4399,0.0
1994-07-01 09:15:00,NSE:NIFTY,1262.0601,1278.54,1241.22,1278.54,0.0
1994-08-01 09:15:00,NSE:NIFTY,1308.08,1373.29,1303.35,1373.29,0.0
1994-09-01 09:15:00,NSE:NIFTY,1366.3199,1384.9399,1290.53,1290.53,0.0
1994-10-03 09:15:00,NSE:NIFTY,1304.83,1326.63,1267.21,1267.21,0.0
1994-11-01 09:15:00,NSE:NIFTY,1283.38,1283.38,1208.0,1245.75,0.0
1994-12-01 09:15:00,NSE:NIFTY,1240.14,1240.14,1136.25,1182.28,0.0
1995-01-02 09:15:00,NSE:NIFTY,1182.14,1182.14,1019.2,1071.23,0.0
1995-02-01 09:15:00,NSE:NIFTY,1061.76,1076.29,948.96997,1014.72,0.0
1995-03-01 09:15:00,NSE:NIFTY,1027.6801,1060.1801,988.53003,990.23999,0.0
1995-04-03 09:15:00,NSE:NIFTY,1005.37,1052.1801,941.83002,941.83002,0.0
1995-05-01 09:15:00,NSE:NIFTY,908.64001,997.40002,908.64001,997.40002,0.0
1995-06-01 09:15:00,NSE:NIFTY,1012.16,1016.21,961.22998,961.22998,0.0
1995-07-03 09:15:00,NSE:NIFTY,938.5,1040.59,931.33002,994.25,0.0
1995-08-01 09:15:00,NSE:NIFTY,993.5,1007.57,967.42999,971.73999,0.0
1995-09-01 09:15:00,NSE:NIFTY,971.34003,1018.88,960.67999,1011.97,0.0
1995-10-02 09:15:00,NSE:NIFTY,1027.5601,1044.3101,985.77002,988.26001,0.0
1995-11-01 09:15:00,NSE:NIFTY,1004.59,1004.59,822.53998,862.09998,0.0
1995-12-01 09:15:00,NSE:NIFTY,867.98999,927.59998,854.46997,908.53003,0.0
1996-01-01 09:15:00,NSE:NIFTY,913.10999,913.10999,813.12,848.41998,0.0
1996-02-01 09:15:00,NSE:NIFTY,848.28003,1067.49,848.28003,992.51001,0.0
1996-03-01 09:15:00,NSE:NIFTY,994.65997,1010.5,945.07001,985.29999,0.0
1996-04-01 09:15:00,NSE:NIFTY,988.33002,1160.16,988.33002,1114.36,0.0
1996-05-01 09:15:00,NSE:NIFTY,1141.65,1141.65,1046.95,1089.92,0.0
1996-06-03 09:15:00,NSE:NIFTY,1098.1801,1203.11,1098.1801,1122.0,0.0
1996-07-01 09:15:00,NSE:NIFTY,1121.0,1127.08,999.03003,1042.8101,0.0
1996-08-01 09:15:00,NSE:NIFTY,1047.47,1054.29,968.76001,1029.0,0.0
1996-09-02 09:15:00,NSE:NIFTY,1028.91,1046.51,932.27002,943.96002,0.0
1996-10-01 09:15:00,NSE:NIFTY,944.51001,956.45001,850.52002,909.28998,0.0
1996-11-01 09:15:00,NSE:NIFTY,910.32001,915.39001,822.16998,830.32001,0.0
