Date,Close,High,Low,Open,Volume,MA7,MA21,Daily_Return
2014-10-07,336.18701171875,339.24700927734375,320.48199462890625,330.5840148925781,49199900,347.6915719168527,387.3521423339844,0.018504665621736027
2014-10-08,352.94000244140625,354.364013671875,327.18798828125,336.1159973144531,54736300,343.30943080357144,382.38099888392856,0.04983235561959076
2014-10-09,365.0260009765625,382.72601318359375,347.68701171875,352.74798583984375,83641104,341.8742893763951,379.551760718936,0.03424377642532228
2014-10-10,361.56201171875,375.0669860839844,352.9630126953125,364.68701171875,43665700,342.16714913504467,377.9691903250558,-0.009489705523839986
2014-10-11,362.29901123046875,367.1910095214844,355.95098876953125,361.36199951171875,13345200,346.9432939801897,375.7499055408296,0.002038376510340001
2014-10-12,378.54901123046875,379.4330139160156,356.1440124511719,362.6059875488281,17552800,355.23457990373885,374.7845720563616,0.04485245473017008
2014-10-13,390.41400146484375,397.22601318359375,368.8970031738281,377.9209899902344,35221400,363.85386439732144,374.22561936151413,0.03134333965318792
2014-10-14,400.8699951171875,411.697998046875,391.3240051269531,391.6919860839844,38491500,373.0942905970982,372.5627150762649,0.026781810112118443
2014-10-15,394.77301025390625,402.22698974609375,388.7659912109375,400.9549865722656,25267100,379.0704345703125,371.2088114420573,-0.015209381938149025
2014-10-16,382.5559997558594,398.8070068359375,373.07000732421875,394.51800537109375,26990000,381.57472011021207,369.8270016624814,-0.030946924386216934
2014-10-17,383.75799560546875,385.4779968261719,375.3890075683594,382.7560119628906,13600700,384.7455749511719,368.84285917736236,0.0031420128043384565
2014-10-18,391.4419860839844,395.1579895019531,378.97100830078125,383.97601318359375,11416800,388.9088570731027,368.4581923711868,0.02002301076852442
2014-10-19,389.5459899902344,393.9389953613281,386.4570007324219,391.2539978027344,5914570,390.47985403878346,369.04700142996654,-0.004843619645193642
2014-10-20,382.8450012207031,390.0840148925781,378.25201416015625,389.2309875488281,16419000,389.3985682896205,369.3983343215216,-0.01720204787552615
2014-10-21,386.4750061035156,392.64599609375,380.8340148925781,382.4209899902344,14188900,387.3421412876674,369.3760012672061,0.009481656731152865
2014-10-22,383.1579895019531,388.57598876953125,382.2489929199219,386.1180114746094,11641300,385.682852608817,369.354239327567,-0.00858274545359361
2014-10-23,358.4169921875,385.0480041503906,356.4469909667969,382.9620056152344,26456900,382.2344229561942,368.56114414760043,-0.06457126822962156
2014-10-24,358.3450012207031,364.3450012207031,353.30499267578125,358.59100341796875,15585700,378.603995186942,368.50557309105284,-0.0002008581299606238
2014-10-25,347.27099609375,359.8609924316406,342.87701416015625,358.6109924316406,18127500,372.2938537597656,369.3820016043527,-0.03090319409850706
2014-10-26,354.7040100097656,359.22100830078125,343.9309997558594,347.48699951171875,11272500,367.3164280482701,371.01028733026413,0.02140407347467921
2014-10-27,352.989013671875,358.6319885253906,349.8089904785156,354.7770080566406,13033000,363.05128696986606,372.1012398856027,-0.004835006905739236
