Date,Close,High,Low,Open,Volume,RSI_14,SMA_20,SMA_50,EMA_20,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,ATRr_14,Target_Close
1989-02-01,288.8599853515625,300.57000732421875,286.260009765625,297.4700012207031,3216280000,57.85129482516434,275.11999893188477,247.38979980468753,272.4420758733654,9.97615420822882,-0.14512844180769235,10.121282650036513,224.1776028324538,275.11999893188477,326.0623950313157,37.03285569730135,0.6348580698173248,19.924189025803646,294.8699951171875
1989-03-01,294.8699951171875,299.989990234375,286.4599914550781,288.8599853515625,3504530000,59.63945314718689,273.93049850463865,249.69459960937502,274.57806818230085,10.629400412884934,0.4064942102787352,10.222906202606199,226.2630346286486,273.93049850463865,321.5979623806287,34.802597108538365,0.7196413959322893,19.46746115105316,309.6400146484375
1989-04-01,309.6400146484375,310.45001220703125,294.3500061035156,294.8699951171875,3237250000,63.71376455756774,272.9224998474121,252.26380004882813,277.91730117907576,12.198305402924518,1.5803193602546557,10.617986042669862,229.5724260472494,272.9224998474121,316.2725736475748,31.76731403559563,0.9235000264392582,19.226928647657626,320.5199890136719
1989-05-01,320.5199890136719,323.05999755859375,304.05999755859375,309.6400146484375,3747320000,66.40414881451295,272.85699996948244,255.0609997558594,281.9747000204659,14.156410624792727,2.8307396656982924,11.325670959094435,229.81520833124912,272.85699996948244,315.8987916077158,31.54897374305759,1.053682679438594,19.210719458539227,317.9800109863281
1989-06-01,317.9800109863281,329.19000244140625,314.3800048828125,320.510009765625,3966590000,65.18898895442908,276.1665008544922,257.8239999389649,285.4037772553099,15.326592701000607,3.2007373935249355,12.125855307475671,229.8880720708088,276.1665008544922,322.4449296381756,33.514875005109175,0.9517602609985141,18.896382179971695,346.0799865722656
1989-07-01,346.0799865722656,346.0799865722656,317.260009765625,317.9800109863281,3249030000,71.42003028049203,281.95550003051756,260.954599609375,291.18246385692476,18.310333488919127,4.947582545154763,13.362750943764365,231.0956280475644,281.95550003051756,332.8153720134707,36.076524116357604,1.130403538601521,19.605210367590907,351.45001220703125
1989-08-01,351.45001220703125,352.7300109863281,339.0,346.0799865722656,3949100000,72.4354599400992,287.1740005493164,264.1465997314453,296.92223036645873,20.86773548463242,6.003987632694443,14.863747851937976,230.31687001324912,287.1740005493164,344.0311310853837,39.5976867176757,1.0652414310368807,19.185553268929283,349.1499938964844
1989-09-01,349.1499938964844,354.1300048828125,341.3699951171875,351.45001220703125,3035020000,71.26752308471087,291.7779998779297,267.31119964599606,301.89630308360404,22.450111821348344,6.069091175528293,16.38102064582005,230.4483122308972,291.7779998779297,353.1076875249622,42.03859624282217,0.9677342753540883,18.726585875836122,340.3599853515625
1989-10-01,340.3599853515625,360.44000244140625,327.1199951171875,349.1499938964844,4012670000,66.83247461583407,295.4049987792969,270.3457992553711,305.5595109186477,22.732826368509848,5.081444578151835,17.651381790358013,231.51456333261996,295.4049987792969,359.2954342259738,43.25616405320939,0.8518131177066804,19.768973122149166,345.989990234375
1989-11-01,345.989990234375,346.5,330.9100036621094,340.3599853515625,3032160000,68.19759462412132,299.7599975585938,273.62399902343753,309.41003275824073,23.14438002011707,4.394398583807245,18.749981436309824,234.49032413078902,299.7599975585938,365.02967098639857,43.54795433639979,0.854146039407693,19.470474780416414,353.3999938964844
