Date,Close,High,Low,Open,Volume,RSI_14,SMA_20,SMA_50,EMA_20,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,ATRr_14,Target_Close
2026-02-23,6837.75,6916.9599609375,6819.81982421875,6901.25,5638350000,44.87334943113084,6908.66396484375,6896.022392578126,6890.8934627681765,-10.483298416812431,-7.709554973825278,-2.7737434429871533,6793.814052813766,6908.66396484375,7023.513876873735,3.324808171722456,0.19127549342294545,80.97191496269346,6890.06982421875
2026-02-24,6890.06982421875,6899.169921875,6815.43017578125,6837.3701171875,5266090000,49.94146681161025,6905.655957031251,6896.090185546876,6890.815021001565,-9.037448709840646,-5.0109642134827945,-4.026484496357852,6792.247582622382,6905.655957031251,7019.06433144012,3.2845069350261618,0.4312831486486674,81.16961718634036,6946.1298828125
2026-02-25,6946.1298828125,6952.509765625,6915.14990234375,6915.14990234375,5328060000,54.74262858364598,6904.032446289062,6896.992783203125,6896.083103078797,-3.3296421432260104,0.557473882505473,-3.8871160257314834,6794.14589487992,6904.032446289062,7013.918997698204,3.183257096892889,0.6915495389726805,79.83178320204819,6908.85986328125
2026-02-26,6908.85986328125,6947.25,6859.72998046875,6944.740234375,5889550000,51.225068503698814,6900.573950195312,6898.62177734375,6897.299937383792,-1.7928762528645166,1.6753918182935736,-3.46826807115809,6796.28186920351,6900.573950195312,7004.8660311871145,3.02270743693285,0.5397245553408276,80.38094293984832,6878.8798828125
2026-02-27,6878.8798828125,6882.9599609375,6831.740234375,6856.5400390625,6665660000,48.52403958665162,6896.067456054689,6899.8691796875,6895.545646472241,-2.959991148204608,0.4066215383627858,-3.366612686567394,6796.546515982659,6896.067456054689,6995.588396126718,2.886309935516975,0.41364845815489254,80.14799193744845,6881.6201171875
2026-03-02,6881.6201171875,6901.009765625,6796.85009765625,6824.35986328125,6079080000,48.78983282427406,6893.196972656251,6901.49638671875,6894.21940558798,-3.62207111722455,-0.2043667445257249,-3.417704372698825,6795.600430908205,6893.196972656251,6990.793514404297,2.831677148794354,0.4406902372696883,81.86311165397,6816.6298828125
2026-03-03,6816.6298828125,6840.0498046875,6710.419921875,6800.259765625,6442080000,43.10506363700812,6885.206469726564,6903.400380859375,6886.829927228411,-9.283923736914403,-4.6929754913724615,-4.5909482455419415,6790.171497520998,6885.206469726564,6980.24144193213,2.7605554785734805,0.139203414687548,88.24433191529357,6869.5
2026-03-04,6869.5,6885.93994140625,6811.64013671875,6831.68994140625,5252170000,48.374835429410616,6882.790966796877,6905.2951855468755,6885.179457968563,-9.396489247505997,-3.8444328015712443,-5.552056445934753,6788.795082988657,6882.790966796877,6976.786850605097,2.731330480953548,0.4293002722119484,87.24829425616547,6830.7099609375
2026-03-05,6830.7099609375,6870.43017578125,6770.77978515625,6851.080078125,5989300000,45.07601741316232,6880.190454101563,6905.219384765626,6879.991886822748,-12.471961191015907,-5.535923796064923,-6.936037394950985,6783.3514698233885,6880.190454101563,6977.029438379737,2.8150088264037723,0.2445218290294749,88.1341582825108,6740.02001953125
2026-03-06,6740.02001953125,6773.419921875,6711.56005859375,6769.02978515625,5793120000,38.470715038425816,6877.271459960938,6902.449980468751,6866.661232794986,-21.973913610036107,-12.030300972068098,-9.943612637968009,6767.408250280557,6877.271459960938,6987.134669641319,3.1949650474028335,-0.1246469624771832,90.34956857259932,6708.58984375
