Date,Close,High,Low,Open,Volume,MA7,MA21,RSI,EMA12,EMA26,STD7,Daily_Return,SMMA7
2024-04-03,65980.8125,66914.3203125,64559.8984375,65446.671875,34488018367,68963.80970982142,67837.92075892857,47.05563356964622,68314.17859291266,68415.52704326923,2306.7898825332313,0.008156830210526378,68963.80970982142
2024-04-04,68508.84375,69291.2578125,65113.796875,65975.6953125,34439527442,68644.36551339286,67700.40885416666,52.625218654034136,68344.1270786184,68422.43939191596,2169.7882911198567,0.038314642609167615,68644.36551339286
2024-04-05,67837.640625,68725.7578125,66011.4765625,68515.7578125,33748230056,68350.76729910713,67625.83110119047,51.08854090867183,68266.20608575403,68379.120964737,2110.9490023302365,-0.009797320875087778,68350.76729910713
2024-04-06,68896.109375,69629.6015625,67491.71875,67840.5703125,19967785809,68243.73939732142,67796.35453869047,53.39947952495429,68363.11428409956,68417.41640253426,2052.560200907705,0.015602971156545964,68243.73939732142
2024-04-07,69362.5546875,70284.4296875,68851.6328125,68897.109375,21204930369,67962.15457589286,67842.63690476191,54.42146685392154,68516.87434616117,68487.42664586505,1654.6500116061277,0.006770270726916605,67962.15457589286
2024-04-08,71631.359375,72715.359375,69064.2421875,69362.5546875,37261432669,68237.75613839286,68037.0543154762,59.117908310493256,68996.02588905946,68720.3105517269,2094.8743652083404,0.03270935878474601,68237.75613839286
2024-04-09,69139.015625,71742.5078125,68212.921875,71632.5,36426900409,68765.19084821428,68381.16108630953,52.694449359560835,69018.02430997339,68751.32574233972,1703.30444734979,-0.03479403115822832,68765.19084821428
2024-04-10,70587.8828125,71093.4296875,67503.5625,69140.2421875,38318601774,69423.34374999999,68508.50446428571,55.707363431548075,69259.5410026698,68887.36700679603,1287.423962669515,0.0209558550176423,69423.34374999999
2024-04-11,70060.609375,71256.234375,69571.8125,70575.734375,30153382941,69645.02455357142,68726.0863095238,54.35070101663035,69382.78229072058,68974.27384888522,1236.2957665297447,-0.007469744331340511,69645.02455357142
2024-04-12,67195.8671875,71222.7421875,65254.8359375,70061.3828125,44129299406,69553.34263392857,68888.80561755953,47.572021122785756,69046.33381330203,68842.54002211595,1404.9590416232818,-0.04088948430588779,69553.34263392857
2024-04-13,63821.47265625,67931.4296875,60919.10546875,67188.375,52869738185,68828.39453124999,68877.34226190476,41.07373059095117,68242.50901990941,68470.60910612588,2600.8648906073595,-0.05021729270691988,68828.39453124999
2024-04-14,65738.7265625,65824.4296875,62205.8515625,63836.23046875,49084320047,68310.70479910714,68806.13058035714,45.619034160848926,67857.3117187695,68268.24743622766,2827.592955984408,0.03004089104268326,68310.70479910714
2024-04-15,63426.2109375,66878.6484375,62332.0703125,65739.6484375,43595917654,67138.54073660713,68495.05431547618,41.46451936026001,67175.60390626651,67909.57806595153,2920.771727191287,-0.03517737178558533,67138.54073660713
2024-04-16,63811.86328125,64355.66796875,61716.40234375,63419.296875,42847528078,66377.51897321428,68200.96037946429,42.40650363152124,66658.10534857167,67606.04363745512,3005.4464209871758,0.006080330797783695,66377.51897321428
2024-04-17,61276.69140625,64486.36328125,59768.5859375,63831.84765625,41915247049,65047.34877232143,67811.50074404762,38.06942858367116,65830.19551129141,67137.20273143993,2889.6960048271,-0.03972884891052719,65047.34877232143
2024-04-18,63512.75390625,64125.6875,60833.48046875,61275.31640625,36006307335,64111.94084821429,67467.11030505953,43.55303504543557,65473.66603359273,66868.72504068512,1879.687103532072,0.03649124077498622,64111.94084821429
2024-04-19,63843.5703125,65481.59765625,59651.390625,63510.75,49920425401,63633.041294642855,67179.0504092262,44.33828079273301,65222.88207650154,66644.639505264,1300.9835538629773,0.005208661031110617,63633.041294642855
2024-04-20,64994.44140625,65442.45703125,63172.40234375,63851.1015625,23097485495,63800.60825892857,66957.58072916667,47.09556421928094,65187.73735800131,66522.40260904074,1400.9938328283838,0.018026421268684478,63800.60825892857
2024-04-21,64926.64453125,65723.2421875,64277.72265625,64992.81640625,20506644853,63684.59654017857,66652.48530505953,46.948024215047994,65147.569230808804,66404.19830698217,1237.8843789218638,-0.0010431180502996629,63684.59654017857
2024-04-22,66837.6796875,67233.9609375,64548.1796875,64935.6328125,28282686673,64171.94921875,66516.08203125,51.55506298255387,65407.58622414591,66436.30803887239,1703.267849094221,0.029433758205850147,64171.94921875
2024-04-23,66407.2734375,67199.2421875,65864.8671875,66839.890625,24310975583,64542.72209821428,66561.81063988096,50.49157209506455,65561.38425696961,66434.15732765962,1884.6499665309111,-0.006439574982440521,64542.72209821428
2024-04-24,64276.8984375,67075.3671875,63589.87109375,66408.71875,30276655120,64971.323102678565,66480.671875,45.48964694403761,65363.771053974284,66274.36037283298,1253.6112481293237,-0.03208044676017341,64971.323102678565
2024-04-25,64481.70703125,65275.20703125,62783.6328125,64275.01953125,32155786816,65109.74497767857,66288.90345982142,46.04305118202666,65228.06889663209,66141.57123641942,1111.112239822441,0.0031863484195515657,65109.74497767857
2024-04-26,63755.3203125,64789.65625,63322.3984375,64485.37109375,24139372950,65097.137834821435,66094.50725446428,44.32431232770176,65001.492191381,65964.81190872168,1128.2418304192236,-0.011265004482557628,65097.137834821435
2024-04-27,63419.140625,63898.36328125,62424.71875,63750.98828125,19530783039,64872.09486607143,65833.69921875,43.51471292435942,64758.05348886085,65776.24366548304,1296.6749453047669,-0.005272966802647994,64872.09486607143
2024-04-28,63113.23046875,64321.484375,62793.59765625,63423.515625,17334827993,64613.03571428572,65536.11235119047,42.74952765018641,64505.00379345918,65578.98342868799,1455.3946930880338,-0.004823625063903991,64613.03571428572
2024-04-29,63841.12109375,64174.87890625,61795.45703125,63106.36328125,26635912073,64184.955915178565,65165.1486235119,45.21798374258736,64402.867993503925,65450.25288535925,1085.7476263713093,0.011533090916022948,64184.955915178565
