datetime,Symbol,Open,High,Low,Close,Volume,MA7,MA21,RSI,EMA12,EMA26,STD7,Daily_Return,SMMA7
2020-06-22 05:30:00,BINANCE:BTCUSD,9341.23296,9804.05554,8933.7696,9191.1629952,785.926305,9397.925618914285,8390.08333707619,66.23618994215896,8944.218569676625,8398.277803461538,313.37544448233086,-0.015403627571015654,9397.925618914285
2020-06-29 05:30:00,BINANCE:BTCUSD,9198.7909632,9374.4606096,8929.44087,9123.473304,630.777095,9314.52152915714,8342.81640107619,65.64790151063133,8971.79622111099,8451.995988686609,294.4321341687943,-0.0073646492000361,9314.52152915714
2020-07-06 05:30:00,BINANCE:BTCUSD,9125.572081,9552.5397,9090.774996,9331.343854,748.365849,9379.945167357142,8314.707358409523,66.62813724333233,9027.111241555453,8517.132867598712,222.05691504949706,0.022784146242732506,9379.945167357142
2020-07-13 05:30:00,BINANCE:BTCUSD,9349.9225,9441.0760008,9062.083935,9255.7383577,829.270028,9347.121556871429,8279.863351290476,65.89167096569159,9062.28464403923,8571.844385383993,220.83125442594806,-0.008102315966803775,9347.121556871429
2020-07-20 05:30:00,BINANCE:BTCUSD,9232.245008,10142.547,9137.5628,9966.672608,1060.431584,9370.532743157142,8349.776915728571,69.32517839800893,9201.421253879349,8675.16499446666,278.3786164452157,0.07681010664141796,9370.532743157142
2020-07-27 05:30:00,BINANCE:BTCUSD,9962.898261,12189.728592,9931.786893,11080.289491,2621.96918,9611.947968271428,8495.294883833332,73.77799226464182,9490.477905744065,8853.32236458024,704.730782593477,0.11173406881110215,9611.947968271428
2020-08-03 05:30:00,BINANCE:BTCUSD,11097.184364,12035.362,10905.023242,11756.601327,1658.554057,9957.897419557143,8798.745932880951,76.05164459003319,9839.112278244978,9068.380065500223,1053.954356491004,0.06103737962346001,9957.897419557143
2020-08-10 05:30:00,BINANCE:BTCUSD,11759.151208,12125.8328864,11168.3612166,11955.0518792,2132.43103,10352.7386887,9088.20194297619,76.69032606539001,10164.641447622675,9282.207607255763,1222.9994260592046,0.016879925301561682,10352.7386887
2020-08-17 05:30:00,BINANCE:BTCUSD,11960.562852,12536.3471544,11392.2852938,11715.6003558,2072.217054,10723.042553242856,9360.511121823809,74.1216823518358,10403.250510419186,9462.458921962743,1180.4511460883768,-0.020029316963200317,10723.042553242856
2020-08-24 05:30:00,BINANCE:BTCUSD,11715.7872,11908.848,11135.699328,11749.600336,1671.064361,11068.507764957143,9593.584394966667,74.25354641212286,10610.381252816234,9631.876804484022,1052.1693125902307,0.0029021116432303984,11068.507764957143
